hgnc	THP1_macrophages_0000min	THP1_macrophages_0030min	THP1_macrophages_0060min	THP1_macrophages_0090min	THP1_macrophages_0120min	THP1_macrophages_0240min	THP1_macrophages_0360min	THP1_macrophages_1440min
WDR27	4.620034948416429	4.590592744251971	4.558800485019926	4.5389631529602585	4.496653387747774	3.9578028419580153	3.5922753209652285	3.541431166814718
TXNRD2	4.502331999585332	4.579575670652405	4.587637616484146	4.581403420029479	4.587421541088212	4.568539338344591	4.407433767795556	4.0134507999479965
C1QTNF8	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.27579220203401	-4.55119625979765	-4.551196259797647	-4.551196259797647
OR56A3	-4.551196259797653	-4.55119625979765	-4.2723250389197736	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.551196259797647	-4.551196259797647
FOXO4	2.369649079372764	2.2326671618241205	2.079376665294165	1.9586176041422034	1.6188559939485254	0.7714445355891629	1.1798096322094718	2.9774189762935777
POU3F2	-1.973054169148563	-1.6780872866112193	-1.8336850213487437	-2.1706115471284297	-1.6803985554956962	-0.0551432798691725	-0.017295058178563416	-1.0755231630649817
PTP4A3	3.859943034120715	3.983700764554194	4.056234076869062	3.968676875877975	4.006796708470564	4.271117155217583	4.074756456519108	2.7535474599608865
FOXD4L1	-1.135498719753243	-1.0248877262536786	-1.1628155875178052	-0.8593551054259403	-0.634250702727428	0.08672728993586998	-0.0015944449124965787	-0.20696609052550533
TMEM255B	0.5421684895602142	0.8665596831803003	0.6223950609240609	0.5193398041520886	0.8213447498891735	0.8021089200748669	0.8051654301940656	0.9109151361383155
PROS1	5.376488609584191	5.332473810178758	5.411049867008547	5.493523709646695	5.55409503057886	5.97536381475812	5.97897179647455	5.21681973011853
GAST	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.551196259797647	-4.551196259797647
NUTM1	-2.988345068563266	-4.55119625979765	-4.55119625979765	-4.053341887061221	-4.55119625979765	-3.4739060353570035	-4.0341754542800725	-2.850140622442339
HDDC3	2.960515595170805	3.023650256627368	2.8533459736390467	2.9725363254090476	2.607788010176969	1.977154299273118	2.0277010731317624	1.35115144806654
BEX5	-0.7509980552334811	-0.9538388963880097	-1.1755748584010832	-1.1019700340294059	-0.6145679431947807	-0.6292684820184329	-0.8637646637922428	-1.9555815479149232
ZFP1	3.2650356760262698	3.0971232638318424	2.7803946455340913	2.673479245272688	2.538192741413904	3.2725834388853703	3.1917954249239697	3.2640261691353105
CEND1	-0.3094057703176725	-0.9097721176386373	-1.2619441312329178	-1.7000392675766487	-1.5111897463640154	-0.8914408947968224	-0.9451528087352827	-0.3081968697809184
C6orf58	-3.9821570036993927	-3.796091646439256	-3.5276579399225945	-2.9461543425784003	-2.546328709838095	-2.1080774165748206	-2.5382365454926283	-3.906916970586659
DHRS7C	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.551196259797647	-4.551196259797647
DUSP8	2.59105170245669	2.859077387790525	4.250700540210564	5.05597006598043	5.632196583116242	4.700165099062833	4.302570948770527	4.598783825627179
SOCS3	0.21552745981354127	6.711188515509642	8.143455803417236	8.068430971973827	8.2814365486714685	7.184593622163325	6.4407597675425015	6.084899350884649
C17orf74	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.551196259797647	-4.551196259797647
SLITRK6	-4.551196259797653	-4.55119625979765	-3.8238569624685823	-4.55119625979765	-4.55119625979765	-4.55119625979765	-4.551196259797647	-4.551196259797647
AC132216.1	0.8200785126078949	0.2766626542761086	-0.44614269398432393	-1.3482525495660966	-1.2461306511793553	-0.22718046942234738	-1.030944529920327	-2.4039442846946306
PIWIL3	-2.1759330514593445	-2.4894954610363818	-2.2124332383478484	-2.479367458072011	-1.5111897463640154	-1.9330866734599639	-1.8165038278477623	-2.227696059281865
LPAR5	1.9082364307053012	1.8651186955155619	1.7054538383458477	0.8804704564827154	0.21610977694432343	-0.6847268190416516	-0.5133766368507308	-0.03255673396218557
XPOT	7.8008150992290926	7.763283798602174	7.7792510244879125	7.794415906558639	7.7792121724909356	7.002466518031149	6.430207114391883	6.430946951812965
TMEM173	6.663838834180989	6.784638665128532	6.779231215730732	6.668713496458592	6.49997024766232	5.596846794536868	5.135142251741458	4.067228833595827
