	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
124	124	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
125	125	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
126	126	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
127	127	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
128	128	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
129	129	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
130	130	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
131	131	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
132	132	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
133	133	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
134	134	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
135	135	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
136	136	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
137	137	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
138	138	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
139	139	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
140	140	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
141	141	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
142	142	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
143	143	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
144	144	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
145	145	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
146	146	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
147	147	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
148	148	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
149	149	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
150	150	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
151	151	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
152	152	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
153	153	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
154	154	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
155	155	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
156	156	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
157	157	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
158	158	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
159	159	0	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
160	160	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
161	161	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
162	162	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
163	163	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
164	164	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
165	165	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
166	166	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
167	167	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
168	168	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
169	169	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
170	170	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
171	171	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
172	172	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
173	173	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
174	174	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
175	175	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
176	176	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
177	177	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
178	178	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
179	179	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
180	180	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
181	181	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
182	182	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
183	183	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
184	184	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
185	185	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
186	186	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
187	187	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
188	188	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
189	189	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
190	190	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
191	191	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
192	192	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
193	193	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
194	194	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
195	195	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
196	196	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
197	197	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
198	198	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
199	199	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
