hgnc	THP1_macrophages_0000min	THP1_macrophages_0030min	THP1_macrophages_0060min	THP1_macrophages_0090min	THP1_macrophages_0120min	THP1_macrophages_0240min	THP1_macrophages_0360min	THP1_macrophages_1440min
HIAT1	6.324772226913099	6.384877778880927	6.538066996672242	6.823482171608809	7.230311652008883	8.368809700431571	7.759279901656117	7.482140618555688
SASS6	5.617728410151576	5.585081088712537	5.53768070265286	5.278291555664617	4.634267271733732	5.003116972175693	5.17090221462596	3.675576983469159
B3GNT7	4.734555036333362	5.032535312107214	4.720629813814064	4.318866410463581	3.950511214902804	3.637946198729367	4.091520471742406	3.494723602757576
MPV17L	5.7172526949047775	5.720937345968407	5.81660094630073	5.7564755065265025	5.756378003995702	5.285414839256137	4.9466412027137725	4.67123261649059
BUB1B	6.81163533771478	6.724482148593477	6.730928309220779	6.711241463370499	6.3198453802775	5.653729721599364	6.142021889465657	3.9890202466734186
NMNAT2	1.692926784209953	1.6300770309767096	1.5585323131935165	1.528701660622989	1.4313097348819586	1.1309857092310174	0.39770105259920807	-0.6402368854424729
ZFYVE9	3.9316011204470636	3.913123544034801	3.9196374448425884	3.867996561620802	3.51000936195966	2.610900041638663	3.047339458031303	3.0270224074339653
RBPMS	0.05908913735130087	-0.10205031891124235	-0.25182820210291057	0.0611143578070024	0.5836311218679242	1.2770685956618784	1.080381981985355	0.6479723884537542
TMEM171	-1.1011393564036591	-1.0468078124447289	-0.7716040894536773	-0.0939265188168921	0.9783378499782164	3.1919177996387917	3.742708241282594	4.7966337879853125
NRG1	0.7125023338818488	0.6874915707329842	0.8603667721418058	0.9315528144494962	1.460659745846892	3.576627759785548	3.505094377939462	2.305907281154938
NECAP2	5.2924999980625405	5.307352422739358	5.443001715374835	5.66763119222902	5.839913854068957	6.21107386426308	6.4110102623976895	7.152608702530539
PAXIP1	4.95837116436001	4.9996201546304	5.030110399909748	4.930714742001328	4.7458542021441	4.664024988716036	4.480155330197102	3.4064017030776865
SSBP3	5.336045359901124	5.460968270320817	5.337975096053393	5.422969489852827	5.357537502862521	5.1182728957491666	4.9433775376497255	4.097666452503069
MMP14	8.22118806140564	8.151548933368499	8.077436537706879	8.128714155426056	8.236532358695364	8.549940698732772	9.043381244562363	10.905825458092416
SUSD3	4.433958297357112	4.588712330271074	4.5328614978773825	4.383536929440236	4.183056602040491	3.222793680591108	3.188178026235774	3.7681018853227943
CLEC18A	-2.874820669727632	-1.9461510471033874	-1.1062144606868922	-1.1019700340294056	-1.6977099711647172	-1.4716702092115317	-1.6476935334470277	-0.821143430166899
ST3GAL2	4.508899138083304	4.569206940726787	4.640952159561506	4.57763304616709	4.6305242452567565	5.261025039515251	5.646500938407174	6.574585783520584
KIT	3.02306782293318	3.0659486506161153	3.1979354832984646	3.1002642940515983	2.734530461525927	0.7308075929673419	0.5917889451905973	-1.1744343361121767
CACNA2D3	3.4939425637123867	3.619374488008205	3.634150376850314	3.755859203688959	3.37655322339939	1.4123392785407218	1.1238903719086082	-1.525438392215329
CCNB2	6.01949421276297	6.063014048652605	6.159376401787464	6.184925470857398	5.937487825014566	5.352916931144614	5.778223641018436	3.389922121623739
FAM81A	1.8376877489526087	1.6440560463649403	1.5749070131664276	1.467666243599796	1.5500045063375085	1.173789479873809	0.5344468918571854	-0.02173190496105104
MYO1E	6.15612710289593	6.025782745209013	5.9476844558137145	5.98930039595634	6.102767378465797	6.762287925071178	7.133975622088679	8.06914951255107
DSCR3	5.354722835135986	5.337203784478394	5.335062320062942	5.198179625267901	5.013229451824104	5.094121867798914	5.372311868728477	6.44816169515647
KCNJ15	2.176518320761735	2.3719257150367357	2.7124870854369982	2.907014643131707	3.237623400583129	3.4327764669699716	3.202372386060479	2.9582077777193607
ETS2	5.2606797271790136	5.707954477088494	6.579512709691372	7.124367117687911	7.131831000346006	6.80643894494793	6.894323233781163	7.324781811780701
TSPAN18	-1.204353910144202	-1.2782295418760858	-0.8016664490425611	-0.9856309586792721	-0.44915321590227925	0.48288462781970926	0.7114218537957784	-0.49514046397524775
MX1	6.309752010307953	6.562833477946673	6.382495665236279	6.567478143192602	7.361868843687648	10.491632805933131	11.170323049335382	11.209979846869484
ZNF618	5.622423369526608	5.602037835324751	5.720647975540249	5.7690805321318805	5.804051193575276	6.779684882149311	7.339707430426911	7.276503745514411
C9orf91	4.528173019402901	4.521891024681367	4.378021010442463	4.266094682930207	4.12540720762941	4.986374173363952	5.915089235111699	6.695728887622037
ACAN	-1.0714481465036156	-1.3498871742809122	-0.782459401524233	-0.8744860395732749	-0.19885833326905888	-0.082823516786825	-0.3919477396712637	-0.30318837610641536
SLC37A3	1.541560063509904	1.6094641670380168	1.5204636240605476	1.3000793655131189	1.5464892175862337	2.487752534110075	2.454959416356356	2.389185391725036
FMNL2	5.736840497476937	5.660275526689251	5.548301435270275	5.498427827113211	5.329882024771517	5.801169389410672	6.835083017293446	8.227411547233276
GAREML	4.155030830741894	4.238715046361968	4.277098898097943	4.166801284113085	4.189080482912446	4.021899550765083	4.259528212120209	5.247403590478756
DRC1	-3.2208367253587875	-2.7413000141499086	-2.371981566667951	-3.2030719943784245	-1.7698262436616687	-0.3252584306197415	-0.3312209888282599	-0.9339854088599054
FAM213B	2.616453539108488	2.776018847711053	2.6041532131275718	2.4776248619155314	2.2468543016548748	1.0436508213266058	0.8289105009127389	1.660675840799117
TNFRSF14	2.854748533835613	2.9566458312586406	2.8183561282170944	2.6734756671624593	2.688214027636846	4.139665821461913	4.816451030031375	5.970570847819667
RADIL	1.539892190606415	1.906422077408989	2.108732916097553	1.9651027337053764	1.8620706945064298	1.5068499449467754	1.20078879699591	-0.12340104979398894
SKI	7.18950964382725	7.317789930240079	7.394847811305735	7.367084910792444	7.461682433757758	7.06064323159179	6.3583853848051834	5.845035335738267
LDLRAP1	4.240748661676333	4.272396299704798	4.262314745657342	4.122265904205222	3.8407550367203873	2.551397253147652	2.439687879430563	2.3824517179339155
AGAP1	4.489012346966783	4.6077230069334805	4.692583913184855	4.611899070508667	4.3872568496278	3.677913034095247	2.9956460527292563	1.84142299079168
KRTCAP3	-1.3563242894361964	-1.4253522130188367	-1.9937199052325725	-1.514170060679354	-0.6043984386520621	0.5850733921990019	0.016233856998209832	-1.4284774014513677
DUSP2	2.405655651516067	5.416987808486862	7.409087295611082	6.707735585480407	6.013307705503351	4.858159995297804	4.689095484616315	4.482293841198454
UBXN11	5.015664170701691	5.009519270691838	5.033610929436719	4.889948374815389	4.868501460863298	4.724594692612139	4.454247648430508	3.314383049026918
HPD	-0.20991810699744756	-0.023892302038021673	0.24126742424818398	-0.12463017741248175	0.3911903785753461	1.2159546267174277	1.3475199972885838	1.6152906437669126
